WSA	FN	North	PD	Dist	Elev	Inc	lnPD	lnDist	lnInc
0.0	0	0.0	0.107	8.169	34.0	23.914	-2.2349265	2.1003466	3.174464
1.0	0	0.0	0.238	5.018	46.0	23.914	-1.4354845	1.6130315	3.174464
1.0	0	0.0	0.186	1.834	35.0	23.914	-1.6820086	0.6064994	3.174464
1.0	0	0.0	0.174	2.491	24.0	23.914	-1.7487	0.9126842	3.174464
0.0	0	0.0	8.981	7.024	22.0	23.914	2.1951113	1.9493328	3.174464
0.0	0	0.0	0.287	6.532	27.0	27.838	-1.248273	1.8767132	3.326402
1.0	0	0.0	0.253	1.488	27.0	27.838	-1.3743658	0.39743295	3.326402
1.0	0	0.0	1.01	3.754	23.0	27.838	0.009950321	1.322822	3.326402
0.0	0	0.0	0.325	3.44	22.0	27.838	-1.1239301	1.2354715	3.326402
1.0	0	0.0	1.196	5.448	27.0	27.838	0.17898265	1.6952486	3.326402
0.0	0	0.0	0.225	7.685	20.0	27.838	-1.4916549	2.0392704	3.326402
0.0	0	0.0	1.097	3.35	30.0	27.838	0.092579186	1.2089603	3.326402
1.0	0	0.0	0.226	1.156	23.0	27.838	-1.4872203	0.14496578	3.326402
1.0	0	0.0	0.605	4.777	22.0	27.838	-0.50252676	1.5638127	3.326402
0.0	0	0.0	0.341	1.173	34.0	27.838	-1.0758728	0.15956455	3.326402
0.0	0	0.0	5.168	9.13	18.0	27.838	1.6424859	2.2115657	3.326402
0.0	0	0.0	16.681	6.282	24.0	27.838	2.8142703	1.8376884	3.326402
0.0	0	0.0	10.578	8.791	22.0	27.838	2.3587763	2.1737285	3.326402
0.0	0	0.0	2.572	6.261	19.0	27.838	0.9446838	1.83434	3.326402
0.0	0	0.0	0.314	0.132	23.0	27.838	-1.1583623	-2.0249534	3.326402
0.0	1	0.0	0.112	3.174	24.0	27.838	-2.1892564	1.1549926	3.326402
0.0	1	0.0	3.978	6.807	18.0	27.838	1.3807791	1.9179515	3.326402
0.0	0	0.0	0.702	2.33	22.0	27.838	-0.35382184	0.84586823	3.326402
0.0	0	0.0	3.686	3.169	23.0	27.838	1.304542	1.153416	3.326402
0.0	0	0.0	5.603	1.351	22.0	27.838	1.7233022	0.30084503	3.326402
1.0	0	1.0	0.213	8.209	26.0	25.197	-1.5464631	2.105231	3.2267249
1.0	0	1.0	0.254	6.718	32.0	25.197	-1.3704209	1.9047905	3.2267249
1.0	0	1.0	0.053	9.273	36.0	25.197	-2.9374633	2.2271068	3.2267249
1.0	0	1.0	0.26	5.935	32.0	25.197	-1.3470737	1.780867	3.2267249
